area,tag_number,description,equipment_type_id,manufacturer,model,serial_number,installation_date,operational_unit,photo,status,criticality
1,MOV-TGL-101B,MOV INLET T.4 100B,1,ROTORK,IQ3,,,,,active,medium
1,"6""-CKV-008",CHECK VALVE INLET T.4 100B,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-101B,FLEXIBLE INLET T.4 100B,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"6""-GV-006",GATE VALVE INLET T.4 100B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-102B,PSV OUTLET T.4 100B,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-102B,MOV OUTLET T.4 100B,1,ROTORK,IQ3,,,,,active,medium
1,"16""-CKV-009",CHECK VALVE OUTLET T.4 100B,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-102B,FLEXIBLE OUTLET T.4 100B,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"16""-GV-007",GATE VALVE OUTLET T.4 100B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,BTG-TGL-100B,ATG T.4 100B,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,PVRV-TGL-100B,PRESSURE VACUM RELIEF VALVE T.4 100B,1,KSPC Tank Tech,VACCUM - KSBBFI-A,,,,,active,medium
1,"8""-FA-002",FLAME ARRESTER PVRV T.4 100B,1,KSPC Tank Tech,VACCUM - KSBBFI-A,,,,,active,medium
1,LSHH-TGL-100B,LEVEL SWITCH HIGH HIGH T.4 100B,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-100B,LEVEL SWITCH LOW LOW T.4 100B,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-009",VALVE DRAIN CD T.4 100B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-043",VALVE DRAIN WD T.4 100B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-100B,SLOT DIPPING DEVICE T.4 100B,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,FC-TGL-100B,FOAM CHAMBER T.4 100B,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-100B,SPRAY SYSTEM T.4 100B,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-100B,EMERGENCY RELIEF VALVE T.4 100B,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,TIT-TGL-100B,TEMPERATUR INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,LIT-TGL-100B,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,T-TGL-500A,TANK STORAGE T.5 500A,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-501A,PSV INLET T.5 500A,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-501A,MOV INLET T.5 500A,1,ROTORK,IQ3,,,,,active,medium
1,"4""-CKV-091",CHECK VALVE INLET T.5 500A,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-501A,FLEXIBLE INLET T.5 500A,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"4""-GV-306",GATE VALVE INLET T.5 500A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-502A,PSV OUTLET T.5 500A,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-502A,MOV OUTLET T.5 500A,1,ROTORK,IQ3,,,,,active,medium
1,"8""-CKV-092",CHECK VALVE OUTLET T.5 500A,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-502A,FLEXIBLE OUTLET T.5 500A,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"8""-GV-307",GATE VALVE OUTLET T.5 500A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-500A,ATG T.5 500A,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,FV-TGL-500A,FREE VENT T.5 500A,1,KSPC,Section 3.6 KFD,,,,,active,medium
1,"6""-FA-008",FLAME ARRESTER FV T.5 500A,1,KSPC Tank Tech,KFD,,,,,active,medium
1,LSHH-TGL-500A,LEVEL SWITCH HIGH HIGH T.5 500A,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-500A,LEVEL SWITCH LOW LOW T.5 500A,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-113",VALVE DRAIN CD T.5 500A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-129",VALVE DRAIN WD T.5 500A,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-500A,SLOT DIPPING DEVICE T.5 500A,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,SS-TGL-500A,SPRAY SYSTEM T.5 500A,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-500A,EMERGENCY RELIEF VALVE T.5 500A,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,LIT-TGL-500A,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,TIT-TGL-500A,TEMPERATUR INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,"8""-GV-310",GATE VALVE,1,0,0,,,,,active,medium
1,T-TGL-500B,TANK STORAGE T.6 500B,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-501B,PSV INLET T.6 500B,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-501B,MOV INLET T.6 500B,1,ROTORK,IQ3,,,,,active,medium
1,"4""-CKV-093",CHECK VALVE INLET T.6 500B,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-501B,FLEXIBLE INLET T.6 500B,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"4""-GV-308",GATE VALVE INLET T.6 500B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-502B,PSV OUTLET T.6 500B,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-502B,MOV OUTLET T.6 500B,1,ROTORK,IQ3,,,,,active,medium
1,"8""-CKV-094",CHECK VALVE OUTLET T.6 500B,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-502B,FLEXIBLE OUTLET T.6 500B,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"8""-GV-309",GATE VALVE OUTLET T.6 500B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-500B,ATG T.6 500B,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,FV-TGL-500B,FREE VENT T.6 500B,1,KSPC,Section 3.6 KFD,,,,,active,medium
1,"6""-FA-009",FLAME ARRESTER FV T.6 500B,1,KSPC Tank Tech,KFD,,,,,active,medium
1,LSHH-TGL-500B,LEVEL SWITCH HIGH HIGH T.6 500B,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-500B,LEVEL SWITCH LOW LOW T.6 500B,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-114",VALVE DRAIN CD T.6 500B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-130",VALVE DRAIN WD T.6 500B,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-500B,SLOT DIPPING DEVICE T.6 500B,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,SS-TGL-500B,SPRAY SYSTEM T.6 500B,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-500B,EMERGENCY RELIEF VALVE T.6 500B,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,LIT-TGL-500B,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,TIT-TGL-500B,TEMPERATUR INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,T-TGL-300,TANK STORAGE T.7 300,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-301,PSV INLET T.7 300,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-301,MOV INLET T.7 300,1,ROTORK,IQ3,,,,,active,medium
1,"6""-CKV-046",CHECK VALVE INLET T.7 300,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-301,FLEXIBLE INLET T.7 300,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"6""-GV-058",GATE VALVE INLET T.7 300,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-302,PSV OUTLET T.7 300,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-302,MOV OUTLET T.7 300,1,ROTORK,IQ3,,,,,active,medium
1,"16""-CKV-047",CHECK VALVE OUTLET T.7 300,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-302,FLEXIBLE OUTLET T.7 300,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"16""-GV-059",GATE VALVE OUTLET T.7 300,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-300,ATG T.7 300,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,PVRV-TGL-300,PRESSURE VACUM RELIEF VALVE T.7 300,1,KSPC Tank Tech,VACCUM - KSBBFI-A,,,,,active,medium
1,"8""-FA-003",FLAME ARRESTER PVRV T.7 300,1,KSPC Tank Tech,VACCUM - KSBBFI-A,,,,,active,medium
1,LSHH-TGL-300,LEVEL SWITCH HIGH HIGH T.7 300,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-300,LEVEL SWITCH LOW LOW T.7 300,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-070",VALVE DRAIN CD T.7 300,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-071",VALVE DRAIN WD T.7 300,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-300,SLOT DIPPING DEVICE T.7 300,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,FC-TGL-300,FOAM CHAMBER T.7 300,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-300,SPRAY SYSTEM T.7 300,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-300,EMERGENCY RELIEF VALVE T.7 300,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,LIT-TGL-300,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,TIT-TGL-300,TEMPERATURE INDICATOR TRANSMITTER,1,0,0,,,,,active,medium
1,"6""-GV-613",GLOBE VALVE,1,0,0,,,,,active,medium
1,"16""-GV-614",GLOBE VALVE,1,0,0,,,,,active,medium
1,"16""-GV-614B",GLOBE VALVE,1,0,0,,,,,active,medium
1,T-TGL-600,TANK STORAGE T.8 600,1,PT. BARATA INDONESIA,Horisontal Tank,,,,,active,medium
1,PSV-TGL-601,PSV INLET T.8 600,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-601,MOV INLET T.8 600,1,ROTORK,IQ3,,,,,active,medium
1,"4""-CKV-066",CHECK VALVE INLET T.8 600,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-601,FLEXIBLE INLET T.8 600,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"4""-GV-083",GATE VALVE INLET T.8 600,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,PSV-TGL-602,PSV OUTLET T.8 600,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-602,MOV OUTLET T.8 600,1,ROTORK,IQ3,,,,,active,medium
1,"8""-CKV-067",CHECK VALVE OUTLET T.8 600,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-602,FLEXIBLE OUTLET T.8 600,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"8""-GV-084",GATE VALVE OUTLET T.8 600,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,ATG-TGL-600,ATG T.8 600,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,FV-TGL-600,FREE VENT T.8 600,1,KSPC,Section 3.6 KFD,,,,,active,medium
1,"6""-FA-007",FLAME ARRESTER FV T.8 600,1,KSPC Tank Tech,KFD,,,,,active,medium
1,LSHH-TGL-600,LEVEL SWITCH HIGH HIGH T.8 600,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-600,LEVEL SWITCH LOW LOW T.8 600,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-086",VALVE DRAIN CD T.8 600,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-072",VALVE DRAIN WD T.8 600,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-600,SLOT DIPPING DEVICE T.8 600,1,KSPC-TANK TECH,"KSSD-A-4""",,,,,active,medium
1,FC-TGL-600,FOAM CHAMBER T.8 600,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-600,SPRAY SYSTEM T.8 600,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-600,EMERGENCY RELIEF VALVE T.8 600,1,KSPC-TANKTECH,"KSEPK-24""",,,,,active,medium
1,LIT-TGL-600,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,TIT-TGL-600,TEMPERATURE INDICATOR TRANSMITTER,1,0,0,,,,,active,medium
1,"4""-GV-090",GLOBE VALVE,1,0,0,,,,,active,medium
1,"4""-GV-091",GLOBE VALVE,1,0,0,,,,,active,medium
1,T-TGL-100C,TANK STORAGE T.10 100C,1,PT. JUDHI SAKTI,Horisontal Tank,,,,,active,medium
1,PSV-TGL-101C,PSV INLET T.10 100C,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-101C,MOV INLET T.10 100C,1,ROTORK,IQ3,,,,,active,medium
1,"6""-CKV-101C",CHECK VALVE INLET T.10 100C,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-101C,FLEXIBLE INLET T.10 100C,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"6""-GV-101C",GATE VALVE INLET T.10 100C,1,0,0,,,,,active,medium
1,PSV-TGL-102C,PSV OUTLET T.10 100C,1,BROADY VALVE,Balanced ,,,,,active,medium
1,MOV-TGL-102C,MOV OUTLET T.10 100C,1,ROTORK,IQ3,,,,,active,medium
1,"16""-CKV-102C",CHECK VALVE OUTLET T.10 100C,1,Standar Vendor list Pertamina,ASTMA 216 WCB,,,,,active,medium
1,FL-TGL-102C,FLEXIBLE OUTLET T.10 100C,1,Singaflex,SSH 1 Single Braid,,,,,active,medium
1,"16""-GV-102C",GATE VALVE OUTLET T.10 100C,1,0,0,,,,,active,medium
1,ATG-TGL-100C,ATG T.10 100C,1,Honeywell Enraf,VITO LT Interface 76,,,,,active,medium
1,PVRV-TGL-100C,PRESSURE VACUM RELIEF VALVE T.10 100C,1,PRE'CON,KONVENSIONAL ,,,,,active,medium
1,"8""-FA-101C",FLAME ARRESTER PVRV T.10 100C,1,PRE'CON,KONVENSIONAL ,,,,,active,medium
1,LSHH-TGL-100C,LEVEL SWITCH HIGH HIGH T.10 100C,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,LSLL-TGL-100C,LEVEL SWITCH LOW LOW T.10 100C,1,SOR ,ELCT-651K9 / PROB-CB,,,,,active,medium
1,"4""-GV-030",VALVE DRAIN CD T.10 100C,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,"4""-GV-031",VALVE DRAIN WD T.10 100C,1,TBA,ASTMA 216 WCB,,,,,active,medium
1,SDD-TGL-100C,SLOT DIPPING DEVICE T.10 100C,1,PRE'CON,PFCI/SD/2062,,,,,active,medium
1,FC-TGL-100C,FOAM CHAMBER T.10 100C,1,NATIONAL FOAM,MCS-17 Type B,,,,,active,medium
1,SS-TGL-100C,SPRAY SYSTEM T.10 100C,1,TYCO,TYCO D3,,,,,active,medium
1,ERV-TGL-100C,EMERGENCY RELIEF VALVE T.10 100C,1,PRE'CON,2051,,,,,active,medium
1,LIT-TGL-100C,LEVEL INDICATOR TRASMITTER,1,0,0,,,,,active,medium
1,TIT-TGL-100C,TEMPERATURE INDICATOR TRANSMITTER,1,0,0,,,,,active,medium
1,"3/4""-SLR-094",LINE 1 PSV INLET T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"1""-SLR-095",LINE 2 PSV INLET T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"3/4""-SLR-096",LINE 1 PSV OUTLET T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"1""-SLR-097",LINE 2 PSV OUTLET T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"6""-SLR-087",LINE INLET T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"10""-SLR-088",LINE OUTLET T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"3/4""-SLR-098",LINE 1 PSV INLET T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"1""-SLR-099",LINE 2 PSV INLET T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"3/4""-SLR-100",LINE 1 PSV OUTLET T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"1""-SLR-101",LINE 2 PSV OUTLET T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"6""-SLR-089",LINE INLET T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"10""-SLR-090",LINE OUTLET T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"6""-SLR-086",LINE HEADER INLET TANK 200A/B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"10""-SLR-091",LINE HEADER OUTLET TANK 200A/B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"4""-DC-102",LINE CLOSED DRAIN T.1 200A,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
1,"4""-DC-103",LINE CLOSED DRAIN T.2 200B,1,Standar Vendor list Pertamina,API5L/ASTM A106 Gr B,,,,,active,medium
